asa_code,regex,explanation
713010,"713010: Group = (?<groupname>\S+), Username = (?<user>\S+), IP = (?<peerip>\S+) (?<italic_text>.+): failed to find centry for message Id (?<message_number>\S+)(?<message_number_2>\S+)$",
713012,"713012: Group = (?<groupname>\S+), Username = (?<user>\S+), IP = (?<peerip>\S+) Unknown protocol \((?<protocol>\S+) \)\. Not adding SA w/spi= (?<italic_text>.+)$",An illegal or unsupported IPsec protocol has been received from the peer.
713014,"713014: Group = (?<groupname>\S+), Username = (?<user>\S+), IP = (?<peerip>\S+) Unknown Domain of Interpretation \(DOI\): (?<italic_text>.+)$",The ISAKMP DOI received from the peer is unsupported.
713016,"713016: Group = (?<groupname>\S+), Username = (?<user>\S+), IP = (?<peerip>\S+) Unknown identification type, Phase (?<italic_text>.+), Type (?<id_type>\S+)$",The ID received from the peer is unknown. The ID can be an unfamiliar valid ID or an invalid or corrupted ID.
713017,"713017: Group = (?<groupname>\S+), Username = (?<user>\S+), IP = (?<peerip>\S+) Identification type not supported, Phase (?<italic_text>.+), Type (?<id_type>\S+)$","The Phase 1 or Phase 2 ID received from the peer is legal, but not supported."
713018,"713018: IP = (?<peerip>\S+) Unknown ID type during find of group name for certs, Type (?<id_type>\S+)$",Tn internal software error has occurred.
713024,"713024: Group = (?<groupname>\S+), Username = (?<user>\S+), IP = (?<peerip>\S+) Group (?<group>\S+) IP (?<ip>\S+) Received local Proxy Host data in ID Payload: Address (?<ip_2>(?:\[[^\]]+\]|(?:(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)\.){3}(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)|[0-9a-fA-F:.]+)), Protocol (?<protocol>\S+), Port (?<port>\S+)$",The Secure Firewall ASA has received the Phase 2 local proxy ID payload from the remote peer.
713025,"713025: Group = (?<groupname>\S+), Username = (?<user>\S+), IP = (?<peerip>\S+) Received remote Proxy Host data in ID Payload: Address (?<ip>(?:\[[^\]]+\]|(?:(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)\.){3}(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)|[0-9a-fA-F:.]+)), Protocol (?<protocol>\S+), Port (?<port>\S+)$",The Secure Firewall ASA has received the Phase 2 local proxy ID payload from the remote peer.
713028,"713028: Group = (?<groupname>\S+), Username = (?<user>\S+), IP = (?<peerip>\S+) Received local Proxy Range data in ID Payload: Addresses (?<ip>(?:\[[^\]]+\]|(?:(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)\.){3}(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)|[0-9a-fA-F:.]+)) \- (?<ip_2>(?:\[[^\]]+\]|(?:(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)\.){3}(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)|[0-9a-fA-F:.]+)), Protocol (?<protocol>\S+), Port (?<port>\S+)$","The Secure Firewall ASA has received the Phase 2 local proxy ID payload of the remote peer, which includes an IP address range."
713029,"713029: Group = (?<groupname>\S+), Username = (?<user>\S+), IP = (?<peerip>\S+) Received remote Proxy Range data in ID Payload: Addresses (?<ip>(?:\[[^\]]+\]|(?:(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)\.){3}(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)|[0-9a-fA-F:.]+)) \- (?<ip_2>(?:\[[^\]]+\]|(?:(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)\.){3}(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)|[0-9a-fA-F:.]+)), Protocol (?<protocol>\S+), Port (?<port>\S+)$","The Secure Firewall ASA has received the Phase 2 local proxy ID payload of the remote peer, which includes an IP address range."
